BattlefyName,IGN,Pokepaste
adambenzoubir3105,Adam,"=HYPERLINK(""https://pokepast.es/bc14469ebf79cc7c"")"
IRockstar_JD,JD,"=HYPERLINK(""https://pokepast.es/e6b2f7a1cb28e25c"")"
palopoli-p,Pier,"=HYPERLINK(""https://pokepast.es/b825bf7e9558584d"")"
LenVGC,LenVGC,"=HYPERLINK(""https://pokepast.es/5195160edecff5e9"")"
timothyongliangli,tina,"=HYPERLINK(""https://pokepast.es/b4a331afb43ced62"")"
blastoise_vossi,Vossi,"=HYPERLINK(""https://pokepast.es/7a48801473290600"")"
Shadezero,Daniel,"=HYPERLINK(""https://pokepast.es/e6a130ec7099d277"")"
c_splash ,Carter,"=HYPERLINK(""https://pokepast.es/e832b9816a5eeab2"")"
mirai1,miraii,"=HYPERLINK(""https://pokepast.es/dcb20e65e35f325d"")"
Judileaf,Judi,"=HYPERLINK(""https://pokepast.es/921c7582cf9885a4"")"
NaisonD,Kouren,"=HYPERLINK(""https://pokepast.es/0636c1bd24b18be1"")"
ka101188,ダイ,"=HYPERLINK(""not yet"")"
Astora_,Astora,"=HYPERLINK(""https://pokepast.es/30756e5b967abf9d"")"
audricdavid11,DricsVG,"=HYPERLINK(""https://pokepast.es/8dff50dca522ee6a"")"
Daibaa,Donita❤️,"=HYPERLINK(""https://pokepast.es/ba8438b522feddd1"")"
fralildarkrai,Lil Darkrai,"=HYPERLINK(""https://pokepast.es/ec0a4a159c6e1949"")"
sito6_89,Sitinho,"=HYPERLINK(""https://pokepast.es/f518f885c7e540cf"")"
cristianzapatero115,JackySierras,"=HYPERLINK(""https://pokepast.es/51c5d89357010242"")"
eirik1995,Eirik,"=HYPERLINK(""https://pokepast.es/16fca554707f6bda"")"
billcabrera25,Billcd,"=HYPERLINK(""https://pokepast.es/9e83f993130ec30c"")"
Shonatron,Shona,"=HYPERLINK(""https://pokepast.es/95e5c4128dcfd201"")"
Raging Dolt,Saten,"=HYPERLINK(""https://pokepast.es/ec98010725f4b5f7"")"
xXOmniXx,Todd,"=HYPERLINK(""https://pokepast.es/efffd5195c9213ac"")"
mirkofioravanti666,Wondi,"=HYPERLINK(""https://pokepast.es/3841c7d52629d346"")"
Alberto Fornaini,Lait,"=HYPERLINK(""https://pokepast.es/a677d2331dab5e30"")"
naruto12347,ebboh,"=HYPERLINK(""https://pokepast.es/0f4a27197858cffe"")"
rayde,Raydevy,"=HYPERLINK(""https://pokepast.es/3067d4477e24172d"")"
